,gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,acctstdq,ajexq,ajpq,curcdq,curncdq,currtrq,datacqtr,datafqtr,finalq,rp,scfq,srcq,updq,apdedateq,fdateq,pdateq,rdq,acchgq,acomincq,acoq,actq,altoq,ancq,aociderglq,aociotherq,aocipenq,aocisecglq,aoq,apq,atq,capsq,ceqq,cheq,cibegniq,cicurrq,ciderglq,cimiiq,ciotherq,cipenq,ciq,cisecglq,citotalq,cogsq,csh12q,cshfd12,cshfdq,cshiq,cshoq,cshprq,cstkcvq,cstkeq,cstkq,dcomq,diladq,dilavq,dlcq,dlttq,doq,dpq,drcq,drltq,dvpq,epsf12,epsfi12,epsfiq,epsfxq,epspi12,epspiq,epspxq,epsx12,esopctq,esopnrq,esoprq,esoptq,gdwlq,ibadjq,ibcomq,ibmiiq,ibq,icaptq,intanoq,intanq,invtq,ivltq,lcoq,lctq,lltq,loq,loxdrq,lseq,ltmibq,ltq,mibnq,mibq,mibtq,miiq,msaq,niq,nopiq,oepf12,oeps12,oepsxq,oiadpq,oibdpq,opepsq,piq,pnrshoq,ppentq,prshoq,pstknq,pstkq,pstkrq,rdipq,rectaq,rectoq,rectq,rectrq,req,reunaq,revtq,saleq,seqoq,seqq,spiq,stkcoq,teqq,tstknq,tstkq,txditcq,txpq,txtq,txwq,wcapq,xidoq,xintq,xiq,xoprq,xoptdq,xoptepsq,xoptq,xsgaq,acchgy,aolochy,aqcy,capxy,chechy,cibegniy,cicurry,cidergly,cimiiy,ciothery,cipeny,cisecgly,citotaly,ciy,cogsy,cshfdy,cshpry,cstkey,dilady,dilavy,dltisy,dltry,doy,dpcy,dpy,dvpy,dvy,epsfiy,epsfxy,epspiy,epspxy,esubcy,exrey,fiaoy,fincfy,fopoxy,fopoy,ibadjy,ibcomy,ibcy,ibmiiy,iby,intpny,invchy,ivacoy,ivchy,ivncfy,ivstchy,miiy,niy,nopiy,oancfy,oepsxy,oiadpy,oibdpy,opepsy,piy,prstkcy,rdipy,recchy,revty,saley,sivy,spiy,sppey,sppivy,sstky,stkcoy,txachy,txbcofy,txbcoy,txdcy,txty,txwy,xidocy,xidoy,xinty,xiy,xopry,xoptdy,xoptepsy,xopty,xsgay,exchg,cik,costat,fic,cshtrq,dvpspq,dvpsxq,mkvaltq,prccq,prchq,prclq,adjex,add1,addzip,busdesc,city,conml,ein,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,ipodate
count,10915.0,10915.0,10915.0,10915.0,10915.0,10915,10915,10915,10915,10915,10915,10915,6770,10915.0,10915.0,10915,9247,9247.0,10907,10915,9989,10915,8824.0,10039.0,10915.0,8150.0,7590.0,5706.0,9149.0,7810.0,8237.0,7395.0,6918.0,6966.0,6876.0,6952.0,7054.0,6908.0,7051.0,9176.0,9095.0,9197.0,8932.0,9202.0,9208.0,7414.0,7336.0,7314.0,5836.0,7409.0,7316.0,5835.0,7229.0,7442.0,9598.0,9883.0,9852.0,9883.0,8893.0,9956.0,9901.0,6637.0,9636.0,9025.0,6965.0,9587.0,9585.0,8783.0,9104.0,9639.0,8991.0,5855.0,6294.0,9636.0,9150.0,9149.0,9597.0,9596.0,9152.0,9598.0,9597.0,9154.0,7434.0,6990.0,6944.0,7345.0,8385.0,9637.0,9632.0,6065.0,9637.0,9167.0,8203.0,8622.0,9020.0,6469.0,7341.0,6920.0,6878.0,9173.0,6473.0,9197.0,9190.0,9181.0,5683.0,9068.0,8956.0,9268.0,6900.0,9628.0,9513.0,9142.0,9153.0,9591.0,9484.0,9098.0,9596.0,9593.0,7571.0,9064.0,7581.0,9200.0,9195.0,9175.0,7547.0,7284.0,5821.0,8951.0,6162.0,8971.0,8567.0,7797.0,9620.0,6936.0,9226.0,9557.0,7453.0,5918.0,8950.0,9146.0,6724.0,6733.0,9606.0,6494.0,6912.0,9631.0,6113.0,9640.0,9529.0,6650.0,6650.0,6653.0,8290.0,7814.0,8731.0,8512.0,8766.0,8808.0,7424.0,7345.0,7324.0,5844.0,7418.0,7325.0,7239.0,7451.0,5844.0,9453.0,9875.0,9894.0,9640.0,9584.0,9582.0,8503.0,8538.0,9643.0,8636.0,8998.0,9640.0,8743.0,9596.0,9595.0,9596.0,9596.0,8101.0,8793.0,8791.0,8808.0,7845.0,8753.0,9642.0,9637.0,8731.0,6071.0,9642.0,5770.0,8071.0,8792.0,8504.0,8808.0,6704.0,9271.0,9632.0,9520.0,8808.0,9590.0,9490.0,9104.0,9594.0,9599.0,8149.0,7553.0,7094.0,7801.0,9625.0,8537.0,9559.0,7816.0,8352.0,8713.0,7463.0,6333.0,7191.0,7809.0,7910.0,9610.0,6499.0,8731.0,9634.0,6118.0,9644.0,9294.0,6657.0,6658.0,6661.0,8298.0,10915.0,10102.0,10915,10915,9221.0,9374.0,9374.0,6519.0,9246.0,9246.0,9246.0,9376.0,10915,10915.0,10915,10915,10915,8930,10915.0,10012.0,10012.0,10012.0,10012.0,10915,9554,10915,10654.0,10855,10915.0,10915.0,6092.0,6092.0,7103,9818,10039.0,10911,7154.0
unique,,,,,,1,1,1,1,240,240,240,3,,,2,8,,73,76,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,218,213.0,240,165,240,188,,,,,,2,27,14,,217,,,,,7,36,,219,
top,,,,,,INDL,C,D,STD,APTO,03835T200,APTOSE BIOSCIENCES INC,DS,,,USD,USD,,2017Q3,2017Q2,Y,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,USA,,,,,,,,,"120 East Liberty Drive, Suite 400",60187.0,"Aptose Biosciences Inc., a clinical-stage biotechnology company, discovers and develops personalized therapies addressing unmet medical needs in oncology in Canada.",Wheaton,Aptose Biosciences Inc,30-0091294,,,,,,D,DE,USA,,630-765-8000,,,,,C,CA,,www.ftportfolios.com,
freq,,,,,,10915,10915,10915,10915,74,74,74,5976,,,10810,8839,,240,238,9989,10785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10915,9650,,,,,,,,,334,293.0,74,334,74,73,,,,,,9345,5784,9640,,334,,,,,2191,1858,,334,
mean,90380.80311497938,20102696.997709572,2010.2229958772332,2.499954191479615,10.666697205680256,,,,,,,,,1.0187168392120975,1.0186437104901545,,,0.9901362712231,,,,,7.0,14.337782647674072,2.834906092533211,20113374.410674848,20127822.061528325,20128808.30967403,20103960.57066346,-0.09438501920614596,12.169351948524948,117.17379513184548,1777.0468302977738,122.84279902383,1353.1004637870865,1.4164738204833152,-1.9089933371136945,-1.1385292414591788,0.0,1136.4806222754999,507.09900725673344,3220.942492008268,998.5837731750995,1413.9131596392112,1004.3355319287588,70.56415646075003,-0.24188713195201747,-0.037948181569592634,0.09408550376970537,-0.10628681333513297,-0.027560415527610686,75.1004186803771,-0.08262456771337665,71.50416406879856,175.37567086893173,127.03319418192753,129.54631241372226,129.82303753920928,137.42999066681622,124.4337944957813,127.47294849005112,0.7766686906735688,-0.08143617683686181,52.62691390581722,0.37005728643216074,0.016396161468655458,58.7095775691183,176.49994250256128,514.6169851713543,0.19298277829650376,23.33038905572232,177.72013202391085,73.14264267556399,0.1339063926940638,0.46366383606557404,0.46584446387583367,0.11869229967698304,0.11767017507294777,0.49560895979021125,0.1266236715982504,0.12529373762634227,0.49262914572864475,0.003343825665859564,0.0,0.0,0.0,314.9709106738204,58.36273539483232,58.47477605897007,72.82945127782345,58.57805561896854,1941.0770497436447,173.8740441301958,471.849414405009,98.07478348115308,688.8891661771517,382.20979335240486,666.1891143063606,692.9220314044773,240.780077728115,250.03840537617808,3220.942492008268,1800.4324840043564,1791.9825532077125,13.355385007918375,1.7390530436700495,10.235416033943734,0.1649776650841607,18.97315681159419,58.77794910677189,3.4717851361294967,0.5910355720848872,0.6159896099639479,0.15483338546554107,91.20398924504482,117.8009496592649,0.161819195498125,82.35838924215585,0.7905120855897443,299.86990809797146,0.5564380688563495,1.9271229347826089,6.640522022838475,4.797073569482283,-0.7529236782827613,-5.835086490939058,21.88916492011679,611.7639772092505,377.65339467705235,393.78647597815046,386.3493373409589,502.35614492753547,412.8965843035333,0.5318232410611311,1417.196896813355,-6.723105263157881,16.14437099154698,1748.7549711051008,1.8934434636871524,50.86470249289298,50.4501262641285,21.255300905985376,23.321755985842174,0.4338475515860794,1111.6911592882007,0.11061437026269341,7.1472869294944985,-0.07612385892116182,303.8847474026643,0.0073654135338346,0.007518796992481213,1.330858109123703,146.44984101326872,-0.37351983619145135,-9.007904821898984,29.419130874060144,60.46980036504668,12.506530086285192,179.14582233297398,-0.010348672566371779,-0.16854519388312378,0.26455749486652974,-0.4224537611215961,-0.007051194539249137,1.5992127365658253,179.74649657764,193.20761259411304,419.5747859938645,129.61388739240468,127.13735213260492,-0.21960497925311243,0.03964680717863102,152.96985744103466,786.014795248736,740.3243984539714,0.4036771751529603,53.05361266790177,55.50593254056454,0.3315569502074689,52.21238808189402,0.30888755731555034,0.30753361125586437,0.32686598582743037,0.32501417257190707,0.2811612146648564,-0.06778710337768688,9.308115003981353,-26.23473342415987,54.944116889738595,51.67140751742256,151.96017247458977,152.26083791636327,167.39696117283185,188.23913309174773,152.51118211989154,11.797039688041528,-5.005520629413953,-35.5685137625113,818.5558439557835,-226.62623421889128,-23.212009397374736,0.4036948549239563,152.82159894102955,8.56188277310924,265.43516655313397,0.37056173096976236,224.26477681770317,287.5482464850617,0.3867841359182848,207.47210105219315,99.20612946373782,-1.5040495167483126,10.881160699182413,1201.6684858351505,987.9458573506505,727.1881969075787,-12.301201903964898,0.8556829580348023,-2.466055196360154,39.443989785378065,39.397348653356495,4.379417811463764,4.8308662216659775,-2.6029407094378283,-0.818219848293301,53.83993413111339,0.4381724880750885,-0.17195349902645762,0.08341270500311397,16.859923667865292,-0.3016168602239735,736.6267396169583,0.014647739221871766,0.014939921898468057,2.4338139918931105,349.7737227042656,14.0,1048069.7055038606,,,67787928.80232233,0.06451060379773825,0.0651177298911882,7784.568993219838,27.448473880597014,30.839936004758894,23.546136556348618,1.0228144624573474,,,,,,,10.755199267063674,3609.2898521773873,360946.8507790651,35.917399121054736,36094700.24920096,,,,441908.84935235593,,6.177462207970683,5121.778286761338,418.7767564018385,899.5976690741957,,,0.0,,20015247.920324296
std,71477.15088077565,50056.5284506877,5.012401955002739,1.1181261803260634,2.6784393633170045,,,,,,,,,0.9184056006457653,0.9184234546075262,,,0.118960335947453,,,,,0.0,24.80202058399604,0.5462401497047241,41417.8694513892,33221.38558227773,32796.73240364271,50892.44562649773,4.628325433487148,185.95509674364504,624.3268307625731,10206.91954224891,525.9505882451084,6098.305606295497,42.38221548045603,72.76325857453716,6.519606347196656,0.0,5205.129975945179,1838.3238426524076,14516.435988307743,5602.529452381328,8300.854318362146,7095.207653236275,534.1724600151426,27.039385992774687,22.90921844147038,4.198959339151408,23.00693609254471,1.5502425278164662,567.5865885561532,68.17812455421263,563.3427072037284,1058.1192550374628,749.6559493939382,760.5358320988984,752.7366172825493,780.8021915811522,738.8336210981927,743.4583237781812,4.105951904221793,5.365733101683485,610.0610917376933,8.778496393359333,0.7239047187796149,475.9938833021192,2248.58569335986,3460.4909306864924,19.38835536565931,148.17684183954427,1607.8094908133098,483.214828678529,1.4235771016546697,4.500634482007925,4.526542055190736,1.562867589519938,1.54177272133161,4.593224432771026,1.591794968161058,1.5666027639394315,4.56415880037545,0.16645989355781016,0.0,0.0,0.0,1809.6270671100588,474.75924701726126,475.2914700271591,549.0638328759,475.1535671824434,10141.894089482821,995.5647731787982,2525.236855719013,542.9988332115732,4517.528780551526,2399.568382072753,3795.2898260043376,4262.278010792654,1421.2834647258617,1338.9868618695216,14516.435988307743,7862.784542571738,7848.954452735723,120.68123552697733,15.112111220453718,98.68321868372117,3.6256483761751332,186.30010329974562,475.8946008243183,66.74618609820426,4.05183901258404,4.105149698378773,1.23035351226628,603.6878876383128,728.0721948745036,1.247484757021075,598.452964517236,14.710955399401909,2043.3001009266177,6.334966243027424,20.818804289501745,35.419456461387945,29.128145285635323,25.669231548116016,87.2959280645231,131.64320452241458,2043.5551597067988,1809.899160456777,4938.061492664619,5041.5244106637865,2589.423438015853,2338.5740807904454,5.952914244098212,8290.192280326304,130.4884978204447,110.40159986888642,9587.133302279728,8.823948738462926,327.2090981857785,410.9630822628983,188.73025997089348,251.48841138264766,34.74577649887014,6931.026096761442,19.835614138416382,30.29116772049022,4.1726829042922775,1789.7631485172703,0.043595099707091016,0.04401400560256658,34.24301776973167,860.5015530063972,9.245970047283555,335.6522968534755,387.66045798304816,474.39008614451836,651.5060775855947,1354.566814855693,44.05635629799543,36.67318338901014,8.155729650648482,33.45801472703149,1.6052597576023644,115.84030350300907,1359.3288541639477,1431.696885548058,2694.800806036602,756.8217157265858,746.4729816630183,9.2638159300269,1.6908650519670672,1220.3150158066117,14081.38722300962,14055.513047328082,25.683449388027167,357.4389813696277,383.9792850350327,2.8827297950638098,763.6442411618284,3.1258555462557274,3.1053607536399084,3.17973515629283,3.155519462047294,14.97016482828838,21.356676555289503,288.19840330011925,1481.2335215084242,522.4518437557169,500.08342697266636,1216.5775643544687,1218.3968543885567,1265.413912150427,1399.1956244937373,1218.0597341495704,48.36757851260312,85.3897308189917,681.8363349272444,7339.389672764616,1925.6443862689068,646.4786444497762,7.951542411214472,1218.9081974951496,129.40094116259752,1919.0685890175791,2.7720500457500714,1617.297141878289,1939.2832545519009,2.813579093379644,1589.7721599835622,869.390593537029,34.06720879338235,333.07637300017115,6757.929405772685,6100.170117190426,6713.776135136197,172.79375090810404,10.89836532665053,70.57404919040606,283.97464566198545,291.9177558730371,221.65863804476865,35.09257345008917,39.21473078352037,86.41194271058723,434.6065851863448,34.732544092590956,19.5197785058259,26.99283661799094,73.92811841811123,8.33393250356314,4663.976559433747,0.06393614291513186,0.06472811601126525,51.04515814910594,2256.716126469818,0.0,398987.1154812586,,,329241007.2842276,0.20764870390655235,0.20633002329801794,44728.70675283745,87.54514004443436,94.49878257580282,77.87255160867397,0.9773400710057363,,,,,,,2.600902925383494,916.6014352349265,91657.80530614762,9.189231889897604,9165778.858457297,,,,119957.97172912488,,20.63390512371491,1722.6987576123145,265.70843726042574,69.34621500269044,,,0.0,,80290.51661846899
min,3169.0,20000131.0,1999.0,1.0,1.0,,,,,,,,,0.0001,0.0001,,,0.0082,,,,,7.0,3.0,1.0,20020930.0,20060823.0,20060818.0,20000215.0,-375.0,-2402.0,0.0,0.0,0.0,0.0,-744.405,-2113.0,-134.0,0.0,0.0,0.0,0.0,-28.583,-5379.132,0.0,-6302.0,-923.0,-512.209,-180.915,-728.0,-62.0,-7227.0,-2813.0,-7227.0,-527.399,0.465,0.465,0.465,0.0,0.0,0.465,0.0,-522.0,0.0,-34.085,-36.0,-6302.0,0.0,0.0,-506.0,0.0,0.0,0.0,-31.48,-91.75,-91.75,-58.43,-58.43,-91.75,-58.43,-58.43,-91.75,0.0,0.0,0.0,0.0,0.0,-6302.0,-6302.0,-6302.0,-6302.0,-233.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-12.0,-1.465,-12.0,-180.915,-1609.0,-6302.0,-2653.0,-59.94,-59.94,-32.03,-5040.708,-5040.023,-32.03,-5173.311,0.0,0.0,0.0,0.0,0.0,0.0,-2038.483,-2646.0,0.0,0.0,0.0,-29460.0,-31114.0,-4790.421,-4790.421,-1.989,-5379.132,-8438.0,-15.567,-4586.444,0.0,0.0,0.0,-1.578,-1899.387,-1.837,-2270.0,-506.0,-203.607,-375.0,-527.399,-0.12,-0.12,-9.886,-1.651,-375.0,-6468.0,-599.036,-0.982,-11426.0,-5953.0,-1067.0,-703.747,-241.747,-1383.0,-61.0,-3650.0,-7257.308,-5951.0,-669.218,0.465,0.465,-522.0,-116.0,-5953.0,-1.054,0.0,-451.0,-0.386,0.0,-31.48,0.0,-91.75,-91.75,-91.75,-91.75,-114.0,-434.0,-5508.847,-41078.0,-3526.747,-3776.0,-5953.0,-5953.0,-5953.0,-5953.0,-5953.0,-0.487,-3583.0,-26141.0,0.0,-46781.0,-18236.0,-241.747,-5953.0,-1911.0,-2502.0,-59.94,-5260.894,-5257.733,-59.94,-5618.343,0.0,-2394.051,-3768.0,-4219.976,-4219.976,0.0,-10011.0,-2.79,-1296.0,-2.461,-15.564,-220.306,-13.85,-829.0,-3296.0,-1898.759,-1.837,-451.0,-451.0,-183.054,-375.0,-669.218,-0.02,-0.02,-1.701,-2.868,14.0,12239.0,,,0.0,0.0,0.0,0.3547,0.002,0.002,0.002,0.0001,,,,,,,1.0,1010.0,101010.0,10.0,10101020.0,,,,325.0,,1.0,1311.0,147.0,700.0,,,0.0,,19860325.0
25%,24287.0,20060930.0,2006.0,1.5,12.0,,,,,,,,,1.0,1.0,,,1.0,,,,,7.0,5.0,3.0,20080630.0,20100607.0,20100812.25,20061020.0,0.0,-1.115,0.7715000000000001,26.4105,0.52,10.23675,0.0,0.0,0.0,0.0,6.7085,2.8505000000000003,70.882,19.402250000000002,28.269750000000002,11.0275,-2.3085,0.0,0.0,0.0,0.0,0.0,-2.9290000000000003,0.0,-2.61075,3.19575,10.092,10.226125,10.574,10.764,9.407499999999999,10.422,0.001,0.0,0.039,0.0,0.0,-2.316,0.0,0.0,0.0,0.255,0.0,0.0,0.0,-0.37,-0.39,-0.09,-0.09,-0.39,-0.09,-0.09,-0.37,0.0,0.0,0.0,0.0,0.0,-2.338,-2.3145,-2.512,-2.2,46.7665,0.0,0.009,0.0,0.0,3.396,8.78975,1.78925,0.443,0.114,70.882,20.249499999999998,19.695,0.0,0.0,0.0,0.0,0.0,-2.2872500000000002,-0.738,-0.28,-0.28,-0.07,-1.2759999999999998,-0.43875000000000003,-0.07,-2.264,0.0,3.6997500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635,2.7595,-124.3115,-129.9145,6.704,7.2250000000000005,0.0,30.38575,-0.02,0.107,36.01175,0.0,0.0,0.0,0.0,0.0,0.0,9.402750000000001,0.0,0.014,0.0,8.621,0.0,0.0,0.0,4.115,0.0,-2.735,0.0,0.3005,-6.797,-4.80525,0.0,0.0,0.0,0.0,0.0,0.0,-5.08,-5.75975,6.083,10.4045,10.268,0.0,0.0,-4.788,0.0,0.0,0.0,0.579,0.511,0.0,0.0,-0.19,-0.18,-0.19,-0.18,0.0,0.0,-0.229,-5.3485,0.323,0.191,-4.77875,-4.75,-5.1415,-5.1035,-4.6035,0.14025,-0.71,-0.075,0.0,-39.84775,0.0,0.0,-4.67725,-1.277,-2.892,-0.15,-2.581,-0.865,-0.15,-4.543,0.0,0.0,-3.03575,12.292,14.624,0.0,-0.5025,0.0,-0.05925,0.0,0.225,0.0,0.0,0.0,-0.098,0.0,0.0,0.0,0.0,0.037,0.0,16.091250000000002,0.0,0.0,0.0,8.47,14.0,874710.0,,,1103366.0,0.0,0.0,74.0453,4.66,5.97,3.73,1.0,,,,,,,12.0,3030.0,303020.0,30.0,30302010.0,,,,334118.0,,1.0,3663.0,185.0,800.0,,,0.0,,19960630.0
50%,64768.0,20110831.0,2011.0,2.0,12.0,,,,,,,,,1.0,1.0,,,1.0,,,,,7.0,5.0,3.0,20120630.0,20130821.0,20131024.5,20110727.0,0.0,0.0,3.415,85.1155,4.6305,59.2995,0.0,0.0,0.0,0.0,64.164,14.035,329.628,112.2935,94.6945,41.778,1.0905,0.0,0.0,0.0,0.0,0.0,0.894,0.0,1.066,12.046,21.3375,21.6034,22.186,23.0,21.235,21.79,0.01,0.0,0.245,0.0,0.0,0.941,0.899,9.808,0.0,0.972,0.323,0.0,0.0,0.32,0.33,0.08,0.08,0.34,0.08,0.08,0.33,0.0,0.0,0.0,0.0,3.025,0.925,0.933,0.954,0.957,151.622,2.47,7.7025,3.4604999999999997,0.0,14.522,31.0185,15.5975,5.961,3.139,329.628,168.7325,167.053,0.0,0.0,0.0,0.0,0.0,0.954,0.005,0.3638,0.37,0.09,2.5735,4.194,0.09,1.492,0.0,13.780000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.012,18.764000000000003,3.079,2.776,29.001,25.9655,0.0,98.051,0.0,0.46,125.314,0.0,0.0,0.0,0.0,0.353,0.0,44.6575,0.0,0.354,0.0,20.603,0.0,0.0,0.0,10.035499999999999,0.0,-0.087,0.0,1.5485,0.06,2.2615,0.0,0.0,0.0,0.0,0.0,0.0,2.19,1.866,26.018,21.965,21.490499999999997,0.0,0.0,1.8255,0.0,0.349,0.0,2.399,2.1180000000000003,0.0,0.0,0.14,0.14,0.15,0.15,0.0,0.0,0.0,0.4945,1.877,1.63,1.7925,1.808,1.993,1.814,1.8565,1.4615,0.0,0.0,0.0,-4.7985,0.0,0.0,1.8565,0.009,4.2735,0.16,5.060499999999999,8.2515,0.16,2.847,0.0,0.0,-0.083,64.117,56.24,0.0,0.0,0.0,0.0,0.478,0.969,0.0,0.0,0.0,0.0,0.7595000000000001,0.0,0.0,0.0,0.7424999999999999,0.0,48.058499999999995,0.0,0.0,0.0,21.6765,14.0,1051343.0,,,6424100.0,0.0,0.0,290.3074,12.79,14.61,10.65815,1.0,,,,,,,12.0,4010.0,401010.0,40.0,40101015.0,,,,511210.0,,1.0,5812.0,292.0,925.0,,,0.0,,19990729.0
75%,162557.0,20150331.0,2015.0,3.5,12.0,,,,,,,,,1.0,1.0,,,1.0,,,,,7.0,5.0,3.0,20150630.0,20160212.0,20160129.75,20150422.0,0.0,0.297,15.7105,283.44825000000003,28.578,280.3085,0.0,0.0,0.0,0.0,308.563,265.55600000000004,1114.491,346.971,278.85900000000004,141.17875,6.491,0.0,0.0,0.0,0.0,0.0,6.714,0.0,6.6355,58.41875,46.06555,47.454499999999996,48.560500000000005,50.538,48.322500000000005,47.71,0.01,0.0,4.374,0.0,0.0,5.885,12.1095,110.50450000000001,0.0,3.794,9.2655,0.1275,0.0,1.12,1.13,0.3,0.3,1.16,0.3,0.3,1.15,0.0,0.0,0.0,0.0,48.622,5.838,5.85525,6.59,5.883,405.49649999999997,18.8615,68.40325,23.7905,13.258,58.229,119.00225,159.95325,26.55,21.597,1114.491,719.72875,714.94,0.0,0.0,0.0,0.0,0.017,5.895499999999999,0.393,1.15,1.18,0.3,12.0675,16.139249999999997,0.31,8.631,0.0,57.70075,0.0,0.0,0.0,0.0,0.0,0.0,1.813,328.26599999999996,84.23275000000001,73.171,74.212,139.785,100.84875000000001,0.0,285.23775,0.0,1.516,342.18399999999997,0.402,2.78425,2.31875,0.688,2.56325,0.0,155.11825,0.0,2.073,0.0,84.434,0.0,0.0,0.0,25.1825,0.0,1.3980000000000001,0.0,7.407,9.611249999999998,14.405000000000001,0.0,0.0,0.0,0.0,0.0,0.009,14.45,14.8095,128.264,48.157,46.989000000000004,0.0,0.0,12.6985,9.0,10.963249999999999,0.0,9.962,9.0415,0.0,1.423,0.63,0.63,0.6425,0.64,0.0,0.0,0.0,19.923250000000003,7.247,6.779,12.523499999999999,12.595,14.225999999999999,14.552,12.62175,6.6419999999999995,0.097,0.025,40.689,-0.06575,0.287,0.0,12.716,0.77325,27.055249999999997,0.64,26.59875,37.235499999999995,0.66,18.637,1.0,0.0,1.03575,300.747,216.789,20.362,0.0,0.0,0.0,6.553,3.5065,0.0,0.0,0.0,0.197,5.62675,0.0,0.0,0.0,4.781,0.0,187.945,0.0,0.0,0.0,59.433499999999995,14.0,1367859.0,,,23806657.0,0.06,0.06,692.5400500000001,24.715,28.0105,21.25,1.0,,,,,,,12.0,4510.0,451010.0,45.0,45101010.0,,,,522120.0,,1.0,6512.0,817.0,940.0,,,0.0,,20070725.0
